Organization,entity_and_date,,,grant_amount
American Roots Music Education,Metro Arts & ABC 1989-90,Metro,1989-90,0
Andrew Jackson's Hermitage,Metro Arts & ABC 1989-90,Metro,1989-90,0
Art and Nature Adventures,Metro Arts & ABC 1989-90,Metro,1989-90,0
Arte de Libertad/Freedom Arts,Metro Arts & ABC 1989-90,Metro,1989-90,0
Arts and Business Council of Greater Nashville,Metro Arts & ABC 1989-90,Metro,1989-90,0
Arts in the Airport,Metro Arts & ABC 1989-90,Metro,1989-90,"5,000"
ArtSynergy,Metro Arts & ABC 1989-90,Metro,1989-90,0
Asian American Performing Arts Society (DBA Dance Theatre of Tennessee),Metro Arts & ABC 1989-90,Metro,1989-90,0
Athena Fund,Metro Arts & ABC 1989-90,Metro,1989-90,"2,000"
AthensSouth Theatre,Metro Arts & ABC 1989-90,Metro,1989-90,0
Beautiful Brown Faces,Metro Arts & ABC 1989-90,Metro,1989-90,0
Belcourt Theatre,Metro Arts & ABC 1989-90,Metro,1989-90,0
Belle Meade Plantation,Metro Arts & ABC 1989-90,Metro,1989-90,0
"Bellevue Edible Learning Lab, Inc.",Metro Arts & ABC 1989-90,Metro,1989-90,0
Bellevue Exchange Club,Metro Arts & ABC 1989-90,Metro,1989-90,0
Bethlehlem Center,Metro Arts & ABC 1989-90,Metro,1989-90,0
Blackbird,Metro Arts & ABC 1989-90,Metro,1989-90,0
Blackbird Theatre,Metro Arts & ABC 1989-90,Metro,1989-90,0
Blair School of Music,Metro Arts & ABC 1989-90,Metro,1989-90,"1,000"
Boys & Girls Club of Middle Tennessee (fiscal sponsor for Notes for Notes),Metro Arts & ABC 1989-90,Metro,1989-90,0
Bridging Two Rivers,Metro Arts & ABC 1989-90,Metro,1989-90,0
BroadAxe Theatre Inc.,Metro Arts & ABC 1989-90,Metro,1989-90,0
C.A.L.L. Project,Metro Arts & ABC 1989-90,Metro,1989-90,0
C.O.L.O.R. Project,Metro Arts & ABC 1989-90,Metro,1989-90,0
CAAC Dance,Metro Arts & ABC 1989-90,Metro,1989-90,"1,500"
Center for Refugees & Immigrants in Tennessee,Metro Arts & ABC 1989-90,Metro,1989-90,0
Centerstone,Metro Arts & ABC 1989-90,Metro,1989-90,0
Cheekwood,Metro Arts & ABC 1989-90,Metro,1989-90,"5,000"
Children's Arts & Ideas,Metro Arts & ABC 1989-90,Metro,1989-90,"3,000"
Chinese Arts Alliance of Nashville,Metro Arts & ABC 1989-90,Metro,1989-90,0
Choral Arts Link,Metro Arts & ABC 1989-90,Metro,1989-90,0
Circle Players,Metro Arts & ABC 1989-90,Metro,1989-90,"3,000"
Civil Rap Movement,Metro Arts & ABC 1989-90,Metro,1989-90,0
Cleveland Park Community Mural,Metro Arts & ABC 1989-90,Metro,1989-90,0
Cleveland Park Neighborhood Story Project,Metro Arts & ABC 1989-90,Metro,1989-90,0
Community Concerts Inc.,Metro Arts & ABC 1989-90,Metro,1989-90,0
Community Resource Center,Metro Arts & ABC 1989-90,Metro,1989-90,0
Concert Chorale,Metro Arts & ABC 1989-90,Metro,1989-90,0
Conexion Americas,Metro Arts & ABC 1989-90,Metro,1989-90,0
Country Music Foundation (DBA Country Music Hall of Fame and Museum),Metro Arts & ABC 1989-90,Metro,1989-90,"5,000"
Creative Artists of Tennessee (CATS),Metro Arts & ABC 1989-90,Metro,1989-90,0
Cultural Arts Enrichment Program,Metro Arts & ABC 1989-90,Metro,1989-90,0
Cumberland Garden Communitiy Mural,Metro Arts & ABC 1989-90,Metro,1989-90,0
Cumberland View Community Mural,Metro Arts & ABC 1989-90,Metro,1989-90,0
Cumberland Science Museum,Metro Arts & ABC 1989-90,Metro,1989-90,"4,000"
Curating a Public Self,Metro Arts & ABC 1989-90,Metro,1989-90,0
Dancing Through the Curriculum,Metro Arts & ABC 1989-90,Metro,1989-90,0
Davidson County 4-H,Metro Arts & ABC 1989-90,Metro,1989-90,0
Destellos,Metro Arts & ABC 1989-90,Metro,1989-90,0
Discover Madison,Metro Arts & ABC 1989-90,Metro,1989-90,0
"Dr. George W. Carver's Theatre of Arts, Life, and Longevity",Metro Arts & ABC 1989-90,Metro,1989-90,0
Drum and a Dream,Metro Arts & ABC 1989-90,Metro,1989-90,0
Drumnastics,Metro Arts & ABC 1989-90,Metro,1989-90,0
EarthTone,Metro Arts & ABC 1989-90,Metro,1989-90,0
East Nashville Center For Creative Arts,Metro Arts & ABC 1989-90,Metro,1989-90,0
